File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\progs\PageReplacementAlgo\PageReplacementAlgo\Form1.cs,183,126,85,10,9,2,48,193,0,0
D:\progs\PageReplacementAlgo\PageReplacementAlgo\Form1.Designer.cs,376,276,241,1,8,0,92,76,0,0
D:\progs\PageReplacementAlgo\PageReplacementAlgo\Logging.cs,48,35,19,3,6,0,7,41,0,0
D:\progs\PageReplacementAlgo\PageReplacementAlgo\Page.cs,40,32,21,1,2,1,6,42,0,0
D:\progs\PageReplacementAlgo\PageReplacementAlgo\PageType.cs,10,8,2,0,1,0,1,4,0,0
D:\progs\PageReplacementAlgo\PageReplacementAlgo\Process.cs,42,29,19,1,5,0,8,31,0,0
D:\progs\PageReplacementAlgo\PageReplacementAlgo\Program.cs,23,18,11,0,2,0,3,10,0,0
D:\progs\PageReplacementAlgo\PageReplacementAlgo\SystemProg.cs,161,111,74,18,8,0,42,198,0,0
D:\progs\PageReplacementAlgo\PageReplacementAlgo\obj\Debug\.NETFramework,Version=v4.5.AssemblyAttributes.cs,5,3,2,0,1,0,1,2,1,2
D:\progs\PageReplacementAlgo\PageReplacementAlgo\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs,5,3,2,0,1,0,1,2,1,2
D:\progs\PageReplacementAlgo\PageReplacementAlgo\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,106,0,0
D:\progs\PageReplacementAlgo\PageReplacementAlgo\Properties\Resources.Designer.cs,64,33,17,3,9,1,22,114,0,1
D:\progs\PageReplacementAlgo\PageReplacementAlgo\Properties\Settings.Designer.cs,27,13,6,1,6,1,8,27,0,1
