Word,Count
/,24
страниц,20
в,20
памяти,18
для,17
процесс,12
и,11
номер,11
если,11
список,10
страницы,9
страницу,8
создаем,8
количество,8
</summary>,7
к,7
<summary>,7
или,7
процесса,6
с,6
число,6
из,6
списка,5
получаем,5
страница,5
то,5
на,5
аргументы,4
все,4
случайное,4
------------------------------------------------------------------------------,4
системы,4
не,4
выводим,4
класса,4
значения,3
кода,3
изменяем,3
сборке,3
выходим,3
находится,3
этой,3
свободных,3
Этот,3
меню,3
данные,3
процессов,3
этого,3
нет,3
версии,3
удаляем,3
будет,3
возвращает,3
номера,3
свойства,3
создан,3
помощью,3
возвращаем,3
значение,3
доступа,3
где,3
память,3
класс,3
по,3
\конструктор,\,3
со,3
новый,3
сборки,3
от,3
пункт,3
тут,2
Исполняемая,2
конструктора,2
/>,2
свойство,2
</auto-generated>,2
9,2
генерации,2
таблицы,2
объект,2
работе,2
проект,2
программой,2
хватает,2
типизацией,2
как,2
счетчика,2
повторной,2
код,2
переменная,2
ресурса,2
классом,2
через,2
\процесса,\,2
иначе,2
этом,2
могут,2
метод,2
1,2
R,2
потеряны,2
привести,2
таймер,2
<autogenerated,2
полям,2
будут,2
-,2
тот,2
номеров,2
Изменения,2
ResGen,2
занятые,2
система,2
при,2
принадлежит,2
COM,2
0,2
оперативной,2
строгой,2
\памяти,\,2
файле,2
<auto-generated>,2
случае,2
убираем,2
неправильной,2
версия:4.0.30319.42000,2
функция,2
атрибутов,2
системе,2
добавляем,2
изменения,2
аргумент,2
очищаем,2
до,2
ComVisible,2
Column4,1
быть,1
моделируем,1
входа,1
label4,1
начальными,1
free.Add(item);,1
сам,1
управляемый,1
(Если,1
компонентов,1
конструктор,1
случайная,1
писать,1
Освободить,1
used.Add(gh);,1
счетчик,1
данного,1
процессом,1
использованный,1
задается,1
значений:,1
форме,1
указанной,1
Перезаписывает,1
начать,1
запрещаем,1
параметром,1
\выключен,\,1
добаляем,1
\объект,\,1
\одиночка,\,1
сборкой,1
первую,1
\номер,\,1
списке,1
опративной,1
систему,1
ресурсы,1
попавшуюся,1
начальном,1
создание,1
